symbol,yf_ticker,company,sector,close,pass_trend_template,trend_template_hits,rs_rating,vcp_detected,vcp_score,pivot,distance_to_pivot_pct,notes
VCOM,VCOM.BK,VINTCOM TECHNOLOGY PUBLIC COMPANY LIMITED,-,3.98,True,7,84.0,False,33.75,4.01,0.7,
CENTEL,CENTEL.BK,CENTRAL PLAZA HOTEL PUBLIC COMPANY LIMITED,Tourism & Leisure,42.5,True,7,82.0,False,33.75,40.0,-5.88,
THE,THE.BK,THE STEEL PUBLIC COMPANY LIMITED,Steel and Metal Products,0.98,True,7,78.0,False,33.75,0.81,-17.35,
PMC,PMC.BK,PMC Label Materials Public Company Limited,-,1.0,True,7,70.0,False,33.75,0.94,-6.0,
MBAX,MBAX.BK,MULTIBAX PUBLIC COMPANY LIMITED,-,2.04,True,7,79.0,False,33.5,2.12,3.92,
SKY,SKY.BK,SKY ICT PUBLIC COMPANY LIMITED,Information & Communication Technology,17.7,True,7,79.0,False,33.5,19.1,7.91,
PTTEP,PTTEP.BK,PTT EXPLORATION AND PRODUCTION PUBLIC COMPANY LIMITED,Energy & Utilities,148.5,True,7,76.0,False,33.25,152.31,2.56,
TAE,TAE.BK,THAI AGRO ENERGY PUBLIC COMPANY LIMITED,Energy & Utilities,1.64,True,7,98.0,False,33.17,1.73,5.49,
TACC,TACC.BK,T.A.C. CONSUMER PUBLIC COMPANY LIMITED,-,6.5,True,7,75.0,False,32.0,6.65,2.31,
TISCO,TISCO.BK,TISCO FINANCIAL GROUP PUBLIC COMPANY LIMITED,Banking,127.0,True,7,71.0,False,32.0,133.0,4.72,
PLAT,PLAT.BK,THE PLATINUM GROUP PUBLIC COMPANY LIMITED,Property Development,1.4,True,7,76.0,False,31.83,1.44,2.86,
SJWD,SJWD.BK,SCGJWD LOGISTICS PUBLIC COMPANY LIMITED,Transportation & Logistics,9.55,True,7,73.0,False,31.83,9.89,3.58,
TCAP,TCAP.BK,THANACHART CAPITAL PUBLIC COMPANY LIMITED,Banking,85.75,True,7,93.0,False,31.67,89.25,4.08,
RBF,RBF.BK,R&B FOOD SUPPLY PUBLIC COMPANY LIMITED,Food & Beverage,5.25,True,7,89.0,False,31.67,5.5,4.76,
GBX,GBX.BK,GLOBLEX HOLDING MANAGEMENT PUBLIC COMPANY LIMITED,Finance & Securities,0.77,True,7,89.0,False,31.0,0.69,-10.39,
THRE,THRE.BK,THAI REINSURANCE PUBLIC COMPANY LIMITED,Insurance,0.58,True,7,92.0,False,30.83,0.42,-27.59,
IP,IP.BK,INTER PHARMA PUBLIC COMPANY LIMITED,Personal Products & Pharmaceuticals,5.05,True,7,80.0,False,30.83,4.54,-10.1,
CBG,CBG.BK,CARABAO GROUP PUBLIC COMPANY LIMITED,Food & Beverage,55.25,True,7,81.0,False,30.38,57.72,4.48,
WHAUP,WHAUP.BK,WHA UTILITIES AND POWER PUBLIC COMPANY LIMITED,Energy & Utilities,7.6,True,7,95.0,False,30.25,8.25,8.55,
BAFS,BAFS.BK,BANGKOK AVIATION FUEL SERVICES PCL.,Energy & Utilities,10.7,True,7,77.0,False,30.25,11.46,7.11,
FORTH,FORTH.BK,FORTH CORPORATION PUBLIC COMPANY LIMITED,Information & Communication Technology,16.1,True,7,97.0,False,30.0,17.93,11.39,
STECON,STECON.BK,STECON GROUP PUBLIC COMPANY LIMITED,Construction Services,18.4,True,7,98.0,False,29.38,18.7,1.63,
AMATA,AMATA.BK,AMATA CORPORATION PUBLIC COMPANY LIMITED,Property Development,32.5,True,7,96.0,False,29.38,27.93,-14.05,
SELIC,SELIC.BK,SELIC CORP PUBLIC COMPANY LIMITED,Industrial Materials & Machinery,3.12,True,7,72.0,False,29.38,3.18,1.92,
AJ,AJ.BK,A.J. PLAST PUBLIC COMPANY LIMITED,Packaging,3.64,True,7,95.0,False,28.75,3.8,4.4,
RCL,RCL.BK,REGIONAL CONTAINER LINES PUBLIC COMPANY LIMITED,Transportation & Logistics,44.5,True,7,93.0,False,28.75,46.25,3.93,
TOP,TOP.BK,THAI OIL PUBLIC COMPANY LIMITED,Energy & Utilities,62.5,True,7,92.0,False,28.75,65.75,5.2,
SYMC,SYMC.BK,SYMPHONY COMMUNICATION PUBLIC COMPANY LIMITED,Information & Communication Technology,6.5,True,7,91.0,False,28.75,6.8,4.62,
S11,S11.BK,S 11 GROUP PUBLIC COMPANY LIMITED,Finance & Securities,4.66,True,7,84.0,False,28.75,4.76,2.15,
KTB,KTB.BK,KRUNG THAI BANK PUBLIC COMPANY LIMITED,Banking,43.0,True,7,91.0,False,27.33,45.5,5.81,
ADVICE,ADVICE.BK,Advice IT Infinite Public Company Limited,Commerce,7.0,True,7,79.0,False,27.33,7.41,5.84,
STGT,STGT.BK,SRI TRANG GLOVES (THAILAND) PUBLIC COMPANY LIMITED,Personal Products & Pharmaceuticals,10.6,True,7,82.0,False,27.25,11.04,4.14,
TSTH,TSTH.BK,TATA STEEL (THAILAND) PUBLIC COMPANY LIMITED,Steel and Metal Products,0.98,True,7,80.0,False,27.25,1.06,8.16,
THANI,THANI.BK,RATCHTHANI LEASING PUBLIC COMPANY LIMITED,Finance & Securities,2.1,True,7,79.0,False,27.25,2.22,5.71,
