symbol,yf_ticker,company,sector,close,pass_trend_template,trend_template_hits,rs_rating,vcp_detected,vcp_score,pivot,distance_to_pivot_pct,notes
EA,EA.BK,ENERGY ABSOLUTE,Energy & Utilities,2.92,False,3,24.0,False,20.75,3.54,21.23,
TISCO,TISCO.BK,TISCO FINANCIAL GROUP,Banking,129.0,False,7,57.0,False,20.0,133.0,3.1,
ADVANC,ADVANC.BK,ADVANCED INFO SERVICE,Information & Communication Technology,373.0,False,7,50.0,False,20.0,384.0,2.95,
ITC,ITC.BK,i-Tail Corporation,Food & Beverage,17.0,False,6,37.0,False,20.0,17.52,3.06,
PR9,PR9.BK,PRARAM 9 HOSPITAL,Health Care Services,17.9,False,1,9.0,False,18.33,18.4,2.79,
VGI,VGI.BK,VGI,Media & Publishing,1.0,False,1,7.0,False,18.33,1.07,7.0,
STGT,STGT.BK,SRI TRANG GLOVES (THAILAND),Personal Products & Pharmaceuticals,10.4,False,6,62.0,False,17.75,11.9,14.42,
CBG,CBG.BK,CARABAO GROUP,Food & Beverage,51.25,False,5,52.0,False,16.88,54.0,5.37,
CHG,CHG.BK,CHULARAT HOSPITAL,Health Care Services,1.53,False,4,23.0,False,16.88,1.64,7.19,
BCH,BCH.BK,BANGKOK CHAIN HOSPITAL,Health Care Services,10.3,False,2,10.0,False,16.88,10.2,-0.97,
BCPG,BCPG.BK,BCPG,Energy & Utilities,7.35,False,4,18.0,False,11.67,7.35,0.0,
OR,OR.BK,PTT OIL AND RETAIL BUSINESS,Energy & Utilities,12.8,False,2,12.0,False,11.67,13.1,2.34,
AAV,AAV.BK,ASIA AVIATION,Transportation & Logistics,1.06,False,1,5.0,False,11.67,1.16,9.43,
BTS,BTS.BK,BTS GROUP HOLDINGS,Transportation & Logistics,2.06,False,0,2.0,False,11.67,2.24,8.74,
DELTA,DELTA.BK,DELTA ELECTRONICS (THAILAND),Electronic Components,285.0,False,6,68.0,False,8.75,364.0,27.72,
BTG,BTG.BK,BETAGRO,Food & Beverage,21.1,False,7,43.0,False,8.75,23.0,9.0,
SNNP,SNNP.BK,SRINANAPORN MARKETING,Food & Beverage,7.1,False,2,8.0,False,8.75,6.95,-2.08,
LH,LH.BK,LAND AND HOUSES,Property Development,3.78,False,4,20.0,False,5.83,3.86,2.12,
SISB,SISB.BK,SISB,Professional Services,9.6,False,0,4.0,False,5.83,10.8,12.5,
SAWAD,SAWAD.BK,SRISAWAD CORPORATION,Finance & Securities,25.0,False,4,31.0,False,4.38,26.25,5.0,
STA,STA.BK,SRI TRANG AGRO-INDUSTRY,Agribusiness,18.7,False,7,65.0,False,0.0,20.0,6.95,
BBL,BBL.BK,BANGKOK BANK,Banking,194.0,False,7,61.0,False,0.0,180.0,-7.22,
SCB,SCB.BK,SCB X,Banking,154.5,False,7,55.0,False,0.0,158.5,2.59,
RCL,RCL.BK,REGIONAL CONTAINER LINES,Transportation & Logistics,34.0,False,7,53.0,False,0.0,34.5,1.47,
TLI,TLI.BK,THAI LIFE INSURANCE,Insurance,11.7,False,7,44.0,False,0.0,12.0,2.56,
SIRI,SIRI.BK,SANSIRI,Property Development,1.51,False,6,39.0,False,0.0,1.43,-5.3,
TU,TU.BK,THAI UNION GROUP,Food & Beverage,12.2,False,3,27.0,False,0.0,12.34,1.16,
CPALL,CPALL.BK,CP ALL,Commerce,46.5,False,5,26.0,False,0.0,52.52,12.95,
SPALI,SPALI.BK,SUPALAI,Property Development,16.0,False,2,15.0,False,0.0,15.7,-1.88,
JAS,JAS.BK,JASMINE INTERNATIONAL,Information & Communication Technology,1.09,False,0,3.0,False,0.0,1.26,15.6,
BANPU,BANPU.BK,BANPU,Energy & Utilities,5.8,False,0,,False,0.0,,,
